Year,Type of Energy Source,Renewable,Amount Generated (thousand megawatthours)
2001,Natural Gas,Non-Renewable,639129
2002,Natural Gas,Non-Renewable,691006
2003,Natural Gas,Non-Renewable,649908
2004,Natural Gas,Non-Renewable,710100
2005,Natural Gas,Non-Renewable,760960
2006,Natural Gas,Non-Renewable,816441
2007,Natural Gas,Non-Renewable,896590
2008,Natural Gas,Non-Renewable,882981
2009,Natural Gas,Non-Renewable,920979
2010,Natural Gas,Non-Renewable,987697
2011,Natural Gas,Non-Renewable,1013689
2012,Natural Gas,Non-Renewable,1225894
2013,Natural Gas,Non-Renewable,1124836
2014,Natural Gas,Non-Renewable,1126635
2015,Natural Gas,Non-Renewable,1334668
2016,Natural Gas,Non-Renewable,1379271
2017,Natural Gas,Non-Renewable,1297703
2018,Natural Gas,Non-Renewable,1471843
2019,Natural Gas,Non-Renewable,1588533
2020,Natural Gas,Non-Renewable,1626790
2021,Natural Gas,Non-Renewable,1579190
2022,Natural Gas,Non-Renewable,1687065
2001,Nuclear,Non-Renewable,768826
2002,Nuclear,Non-Renewable,780064
2003,Nuclear,Non-Renewable,763733
2004,Nuclear,Non-Renewable,788528
2005,Nuclear,Non-Renewable,781986
2006,Nuclear,Non-Renewable,787219
2007,Nuclear,Non-Renewable,806425
2008,Nuclear,Non-Renewable,806208
2009,Nuclear,Non-Renewable,798855
2010,Nuclear,Non-Renewable,806968
2011,Nuclear,Non-Renewable,790204
2012,Nuclear,Non-Renewable,769331
2013,Nuclear,Non-Renewable,789016
2014,Nuclear,Non-Renewable,797166
2015,Nuclear,Non-Renewable,797178
2016,Nuclear,Non-Renewable,805694
2017,Nuclear,Non-Renewable,804950
2018,Nuclear,Non-Renewable,807084
2019,Nuclear,Non-Renewable,809409
2020,Nuclear,Non-Renewable,789879
2021,Nuclear,Non-Renewable,779645
2022,Nuclear,Non-Renewable,771537
2001,Petroleum Liquid,Non-Renewable,114647
2002,Petroleum Liquid,Non-Renewable,78701
2003,Petroleum Liquid,Non-Renewable,102734
2004,Petroleum Liquid,Non-Renewable,100391
2005,Petroleum Liquid,Non-Renewable,100391
2006,Petroleum Liquid,Non-Renewable,100391
2007,Petroleum Liquid,Non-Renewable,100391
2008,Petroleum Liquid,Non-Renewable,100391
2009,Petroleum Liquid,Non-Renewable,100391
2010,Petroleum Liquid,Non-Renewable,100391
2011,Petroleum Liquid,Non-Renewable,100391
2012,Petroleum Liquid,Non-Renewable,100391
2013,Petroleum Liquid,Non-Renewable,100391
2014,Petroleum Liquid,Non-Renewable,100391
2015,Petroleum Liquid,Non-Renewable,100391
2016,Petroleum Liquid,Non-Renewable,100391
2017,Petroleum Liquid,Non-Renewable,100391
2018,Petroleum Liquid,Non-Renewable,100391
2019,Petroleum Liquid,Non-Renewable,100391
2020,Petroleum Liquid,Non-Renewable,100391
2021,Petroleum Liquid,Non-Renewable,100391
2022,Petroleum Liquid,Non-Renewable,100391
2001,Petroleum Coke,Non-Renewable,10233
2002,Petroleum Coke,Non-Renewable,15867
2003,Petroleum Coke,Non-Renewable,16672
2004,Petroleum Coke,Non-Renewable,20754
2005,Petroleum Coke,Non-Renewable,22385
2006,Petroleum Coke,Non-Renewable,19706
2007,Petroleum Coke,Non-Renewable,16234
2008,Petroleum Coke,Non-Renewable,14325
2009,Petroleum Coke,Non-Renewable,12964
2010,Petroleum Coke,Non-Renewable,13724
2011,Petroleum Coke,Non-Renewable,14096
2012,Petroleum Coke,Non-Renewable,9787
2013,Petroleum Coke,Non-Renewable,13344
2014,Petroleum Coke,Non-Renewable,11955
2015,Petroleum Coke,Non-Renewable,10877
2016,Petroleum Coke,Non-Renewable,11197
2017,Petroleum Coke,Non-Renewable,8976
2018,Petroleum Coke,Non-Renewable,8981
2019,Petroleum Coke,Non-Renewable,6819
2020,Petroleum Coke,Non-Renewable,7679
2021,Petroleum Coke,Non-Renewable,7511
2022,Petroleum Coke,Non-Renewable,7126
2001,Conventional Hydroelectric,Renewable,216961
2002,Conventional Hydroelectric,Renewable,264329
2003,Conventional Hydroelectric,Renewable,275806
2004,Conventional Hydroelectric,Renewable,268417
2005,Conventional Hydroelectric,Renewable,270321
2006,Conventional Hydroelectric,Renewable,289246
2007,Conventional Hydroelectric,Renewable,247510
2008,Conventional Hydroelectric,Renewable,254831
2009,Conventional Hydroelectric,Renewable,273445
2010,Conventional Hydroelectric,Renewable,260203
2011,Conventional Hydroelectric,Renewable,319355
2012,Conventional Hydroelectric,Renewable,276240
2013,Conventional Hydroelectric,Renewable,268565
2014,Conventional Hydroelectric,Renewable,259367
2015,Conventional Hydroelectric,Renewable,249080
2016,Conventional Hydroelectric,Renewable,267812
2017,Conventional Hydroelectric,Renewable,300333
2018,Conventional Hydroelectric,Renewable,292524
2019,Conventional Hydroelectric,Renewable,287874
