Year,Class,Amount Generated (thousand megawatthours)
2001,Total,3736644
2002,Total,3858452
2003,Total,3883185
2004,Total,3970555
2005,Total,4055423
2006,Total,4064702
2007,Total,4156745
2008,Total,4119388
2009,Total,3950331
2010,Total,4125060
2011,Total,4100141
2012,Total,4047765
2013,Total,4065964
2014,Total,4093564
2015,Total,4078714
2016,Total,4077574
2017,Total,4035443
2018,Total,4180988
2019,Total,4130574
2020,Total,4009767
2021,Total,4109699
2022,Total,4230668
2001,Renewable,287730
2002,Renewable,343438
2003,Renewable,355292
2004,Renewable,351484
2005,Renewable,357651
2006,Renewable,385772
2007,Renewable,352748
2008,Renewable,380932
2009,Renewable,417724
2010,Renewable,427375
2011,Renewable,513337
2012,Renewable,500033
2013,Renewable,526382
2014,Renewable,532843
2015,Renewable,530226
2016,Renewable,584588
2017,Renewable,642272
2018,Renewable,651971
2019,Renewable,663555
2020,Renewable,701493
2021,Renewable,707520
2022,Renewable,764148
2001,Non-Renewable,3442197
2002,Non-Renewable,3511140
2003,Non-Renewable,3521403
2004,Non-Renewable,3615369
2005,Non-Renewable,3696941
2006,Non-Renewable,3690754
2007,Non-Renewable,3825119
2008,Non-Renewable,3779930
2009,Non-Renewable,3588869
2010,Non-Renewable,3773766
2011,Non-Renewable,3683987
2012,Non-Renewable,3669865
2013,Non-Renewable,3684529
2014,Non-Renewable,3709544
2015,Non-Renewable,3695769
2016,Non-Renewable,3662552
2017,Non-Renewable,3564474
2018,Non-Renewable,3705924
2019,Non-Renewable,3653414
2020,Non-Renewable,3513157
2021,Non-Renewable,3618064
2022,Non-Renewable,3701921
